X,Y
1.7915694617522562,-9.023476418092306
1.8014847947262607,-9.005918788566428
1.8386672933787775,-8.935688270462856
1.8758497920312944,-8.853752666008772
1.8857651250052982,-8.82448995013238
1.9006381244663055,-8.818637406957269
1.9204687904143143,-8.806932320606577
1.9328629566318198,-8.771817061554284
1.9551724558233294,-8.754259432028574
1.9774819550148393,-8.707439086625907
2.004749120693352,-8.695734000275422
2.02210095339786,-8.637208568522741
2.0394527861023675,-8.63135602534713
2.0617622852938777,-8.666471284398861
2.0815929512418863,-8.654766198048423
2.0989447839463944,-8.648913654872961
2.118775449894403,-8.63135602534713
2.1460426155729153,-8.602093309470483
2.1757886144949286,-8.578683136769648
2.195619280442938,-8.578683136769648
2.210492279903944,-8.58453567994484
2.240238278825957,-8.578683136769648
2.272463110991472,-8.578683136769648
2.304687943156986,-8.61379839582121
2.3146032761309905,-8.643061111697682
2.354264608027009,-8.777669604729676
2.386489440192523,-8.777669604729676
2.4286296053320413,-8.730849259327359
2.458375604254055,-8.66061874122383
2.495558102906571,-8.66061874122383
2.5203464353415828,-8.666471284398861
2.545134767776594,-8.648913654872961
2.5798384331856097,-8.707439086625907
2.609584432107623,-8.719144172976987
2.641809264273137,-8.748406888853369
2.6814705961691545,-8.730849259327359
2.711216595091168,-8.730849259327359
2.7459202605001836,-8.724996716152297
2.7880604256397024,-8.70158654345098
2.9268750872757647,-8.514305161841255
2.9665364191717827,-8.455779730087988
3.0185919172853057,-8.420664471035947
3.0681685821553284,-8.327023780231116
3.107829914051346,-8.303613607530213
3.1499700791908647,-8.280203434828808
3.2069832437913903,-8.256793262127445
3.241686909200406,-8.221678003075626
3.291263574070428,-8.209972916725134
2.869586496759295,-8.599329608526881
2.83343684529157,-8.652165067748001
